"Term:English","Description:English"
"FTP","File Transfer Protocol. The standard rules that govern the transfer of files and programs over the Internet. FTP allows files to be moved from one computer to another regardless of the types of computers or operating systems involved in the exchange."
"FYI","For Your Information. An acronym frequently used in e-mail messages."
"GIF","GIF, gif (pronounced GIFF -- as in \"gift\" -- or JIFF): Graphics Interchange Format. Developed by CompuServe, GIF is a widely-used method of compressing image files such as photographs and graphics. Image files typically take up large amounts of computer memory and hard drive space and take long periods of time to download. Various groups have come up with ways of alleviating some of these problems by compressing the image data into smaller files. JPEG is a competing image-compression format."
"Gopher","A menu-based system used in organizing and retrieving files and programs on the Internet. Gopher allows access to files found on FTP servers, as well as to files normally accessed through Telnet, Archie or WAIS programs. Each Gopher server has its own unique menu of files and programs. Gopher servers and menus can be accessed through Gopher programs and some World Wide Web browsers."
"gov","gov (pronounced GUV) : A domain name suffix denoting government. In Internet addresses, gov denotes non-military government sites."
"hacker","A person who breaks into a computer network and tampers with the system."
"hexadecimal","hexadecimal (pronounced hex-uh-DES-I-mull): Numbers expressed in base sixteen. Integers larger than 9 are expressed as sequential letters A through F. In hexadecimal, the number ten is written A. The number sixteen is expressed as 10 - that is, one sixteen and no ones, just as 10 in the standard decimal system represents one ten and no ones. Why would anyone want to express numbers in base sixteen? Because that's how many bits there are in a 16-bit word, so using hexadecimal allowed programmers to denote a specific bit in any word as a single digit, 0 through F. Back in the days of eight-bit machines, programmers used octal, or base eight, numbers."
"home page","A World Wide Web document. Home page often refers to a person or organization's main Web page which provides links to other pages within the person or organization's Web site."
"hypertext","Text that links one document to another."
"holy war","An endless debate often carried on over newsgroup message threads. Such debates usually center on fundamental issues of faith for which there is no chance of resolution. For example: Can the starship Enterprise go faster than warp 10? Yes it can. No it can't. Yes it can, ... and so on."
"html","HyperText Markup Language. The coding language of the World Wide Web."
"http: HyperText Transfer Protocol. The set of rules that govern the transfer of most documents traveling over the Web. It's also the beginning of ","http: HyperText Transfer Protocol. The set of rules that govern the transfer of most documents traveling over the Web. It's also the beginning of URL addresses on the World Wide Web. For example The New York Times URL is http://www.nytimes.com."
"Internet","The international network of networks. The Internet came into being between the late 1970s and early 1980s with the development and adoption of TCP/IP. TCP/IP allowed ARPAnet to join with other networks."
"IP Address","Internet Protocol address. Every machine on the Internet has a unique IP address which consists of four parts separated by dots. (For example: 204.146.46.8) If a machine does not have an IP address it's not officially on the Internet."
"IRC","(Internet Relay Chat) A multi-user chat program. Around the world, many IRC servers are linked to each other. Anyone using these servers can create a \"channel,\" an area for text messages that can be viewed by users with access to that channel."
"ISDN","(Integrated Services Digital Network) A network that moves more data faster over phone lines. ISDN is quickly becoming available in most of the U.S. It can move data at speeds of up to 128,000 bits-per-second."
"Java","A computer language that allows users to add animation, moving text and interactive games to a Web site. Designed by Sun Microsystems, Java works on a variety of computer systems such as Windows, Macintosh and Unix. Netscape Navigator incorporated Java into the latest version of its Web browser."
"JPEG: jpeg, jpg","(pronounced JAY-peg): A standardized method of compressing image files created by the Joint Photographic Experts Group. JPEG images are widely used on the World Wide Web. However, some Web browsers do not support the format, and therefore will not display JPEG images."
"LAN","LAN (pronounced LAN -- as in \"land\"): Local Area Network. A computer network that's located in a concentrated area like a building or floor."
"Login","An ID or name used to access a computer system."
"mailing list","A subject-specific automated e-mail system that's also known as a listproc, listserve or majordomo. Users subscribe to it and via e-mail they receive information about the subject of the list and postings about the topic from other list subscribers."
"mil","mil (pronounced MILL) : A domain name suffix denoting an abbreviation for military. In Internet addresses, mil indicates a site belonging to a military branch or organization."
"modem","modem (pronounced MOE-dim): Shortened form of \"modulator- demodulator.\" A device that allows computers to communicate with each other via telephone lines, cellular signals or television cables. To send information from one computer to another, a modem converts digital signals from a computer into analog signals that can be sent over telephone lines. On the receiving end, the modem converts the analog signals back into digital ones that can be understood by the computer."
"MPEG, mpeg, mpg","MPEG, mpeg, mpg (pronounced EM-peg): A standard for compressing video images developed by the Motion Picture Experts Group. Video clips on the World Wide Web are sometimes available in MPEG format; however, video clips are more often found in AVI and QuickTime formats."
"MUD","MUD (pronounced like the word \"mud\"): Multi-User Dungeon. An online role-playing game similar to Dungeons and Dragons. Normally text-based, Multi-User Dungeons allow numerous people play and interact in the same game scenario at the same time."
"net","An abbreviation for \"network.\" In Internet addresses, net indicates a computer network service."
"Netscape Navigator","A Web browser that's widely used because of its speed and easy interface."
"netiquette","netiquette (pronounced NET-i-ket or -kit): Internet etiquette. The unofficial standards that govern behavior on the Internet. The rules of netiquette are sometimes obscure and are usually learned only through experience."
"network","A hardware/software system that allows two or more computers to be connected so they share resources."
"newbie","newbie (pronounced NEW-be): A new Internet user. As used by more experienced Internet users, newbie usually carries derogatory connotations. Newbies are often faulted for not knowing netiquette."
"newsgroup","A broad grouping of online discussion groups. Newsgroups are the Internet equivalent of BBSs. Most newsgroups are distributed through USENET."
"org","org (pronounced ORG): A domain name suffix denoting an abbreviation for organization. Internet sites which don't fall into any other category are given the domain name of org. Org usually indicates that the site belongs to a non-profit, non-governmental organization."
"PPP","Point-to-Point Protocol. A protocol that allows a computer to use a telephone line and modem to connect to the Internet. It's an alternative to a SLIP connection."
"QuickTime","A video compression standard developed by Apple. The QuickTime standard is one of the most popular formats for video clips on the World Wide Web."
"search engine","A mechanism for finding documents on the Internet. For example, WAIS, Yahoo and Alta Vista are search engines."
"server","A computer system that manages and delivers information to users. One server can have several different software programs running on it."
"signature file","A footer added to the bottom of e-mail messages."
"SLIP","SLIP (pronounced SLIP): A protocol that allows a computer to use a telephone line and modem to connect to the Internet. It's an alternative to a PPP connection."
"spam","The act of spewing out large numbers of electronic messages via e-mail or newsgroups to people who don't want to receive them. Spamming is considered a gross breach of netiquette. The term is believed to be derived from a Monty Python skit in which the word \"spam\" is repeated over and over again. Its relation to Spam, the much-maligned pork luncheon meat, is uncertain."
"TCP/IP","Transmission Control Protocol/Internet (working) Protocol. A standard set of rules which allows computers on different networks to communicate with one another. The Internet came into being with the development and adoption of TCP/IP."
"Telnet","The Internet protocol which allows a computer at one location to connect with and act as a terminal of a computer at a different location. Unlike FTP which involves the transfer of files between computers, Telnet involves primarily the transfer of commands from the terminal emulator to the host computer and responses to those commands from the host to the terminal."
"T-1","A phone line connection that can transfer data at 1.5 million bits-per-second. It is frequently used to connect LANs to the Internet."
"T-3","A phone line connection that can carry data at 45 million bits-per-second. This is more than enough to do full-screen video."
"tn3270","A Telnet program and protocol used to log in to IBM mainframe computers."
"twitch games","Action games requiring lightening-quick reaction times, dexterity and caveman intelligence."
"UNIX","A computer operating system that is designed to be used by many people at the same time. UNIX is the most widely-used operating system for servers on the Internet."
"URL","URL (Uniform Resource Locator): This is the protocol for identifying documents on the Web. All Web addresses have a URL. For example, The New York Times is http://www.nytimes.com"
"USENET","USENET (pronounced USE-net): A world-wide system of thousands of discussion areas, called newsgroups, with comments from hundreds of thousands of users. Most Usenet machines are on the Internet."
"Veronica: (Very Easy Rodent Oriented Net-wide Index to Computerized Archives) A frequently updated database with the names of almost every menu item on the thousands of ","Veronica: (Very Easy Rodent Oriented Net-wide Index to Computerized Archives) A frequently updated database with the names of almost every menu item on the thousands of Gopher servers."
"VMPEG","VMPEG (pronounced VEE EM-peg) : An application for playing MPEG video files."
"VRML","(Virtual Reality Modeling Language) is a computer language that allows users to create three-dimensional programs. In a VRML application a user can click on any object to travel to another part of the program or to visit another Web page. It is pronounced VER-mull"
"WAIS","WAIS (pronounced WAYS) : Wide Area Information Service. A search engine that indexes large quantities of information and makes the indexes searchable."
"WAV","WAV (pronounced WAVE) : An audio file format."
"Web browser: A program used to navigate and access information on the ","Web browser: A program used to navigate and access information on the World Wide Web. Web browsers convert raw html coding into a graphical display. Some browsers are also able to navigate Gopher sites, connect with FTP servers and display different types of image files."
"Web goddess, webgoddess","A female Web master."
"Web master, webmaster","The person in charge of maintaining the content found on a Web site, or of keeping the site up and running."
"Web site","A collection of World Wide Web pages, usually consisting of a home page and several other linked pages."
"Webzine","A magazine on the World Wide Web. See zines."
"word","A group of bits, used to designate various information within a computer. An 8-bit word is called a byte."
"World Wide Web","A system of finding and accessing Internet files and programs utilizing hypertext. The World Wide Web allows users to navigate the Internet by following links from documents on one computer to documents on others. The Web employs html, allowing files to be viewed in a graphical format."
"WWW","See World Wide Web."
"zine","Short for magazine. Generally, zines have a narrower focus, a stronger personality and a lower circulation than traditional magazines."
